"fips","stname","Ctyname","cases_2018","ststatus","pop_2018","pct_uninsured","incidence_2018","active_months_10c","mean_annual_temp_c","canopy_pct","coverage_wt"
34011,"New Jersey","Cumberland County",81,"High Incidenc",150972,10.7,53.6523328829187,7,13.33,38.3066234660587,1.0000000000001
34013,"New Jersey","Essex County",167,"High Incidenc",799767,11.6,20.8810816150204,6,12.18,27.9825027568634,0.999999999999864
34015,"New Jersey","Gloucester County",109,"High Incidenc",291408,5.2,37.4046011090979,7,13.4,30.9700281477013,0.99999999999994
34017,"New Jersey","Hudson County",26,"High Incidenc",676061,12.9,3.84580681329052,6,13.01,5.99891317305713,1.00000000000023
34019,"New Jersey","Hunterdon County",335,"High Incidenc",124714,4.1,268.614590182337,6,11.33,38.3330347425924,0.999999999999978
34021,"New Jersey","Mercer County",165,"High Incidenc",369811,9.2,44.6173856375284,6,12.44,34.2793430397055,0.999999999999948
34023,"New Jersey","Middlesex County",154,"High Incidenc",829685,7.7,18.5612612015403,6,12.54,29.9104094333529,1.00000000000008
34025,"New Jersey","Monmouth County",506,"High Incidenc",621354,6.7,81.4350595634695,6,12.66,38.0271235606939,0.999999999999912
34027,"New Jersey","Morris County",472,"High Incidenc",494228,5.2,95.5024806364674,6,10.77,52.5470538700766,1.00000000000002
34029,"New Jersey","Ocean County",290,"High Incidenc",601651,7.7,48.2007010708866,6,12.78,44.6933466791255,0.999999999999914
34031,"New Jersey","Passaic County",149,"High Incidenc",503310,13.5,29.6040213784745,6,10.88,57.6854595058275,1.00000000000005
34033,"New Jersey","Salem County",58,"High Incidenc",62607,7.1,92.6413979267494,7,13.36,24.1430809574641,1.0000000000001
34035,"New Jersey","Somerset County",225,"High Incidenc",331164,5.4,67.942167626916,6,11.88,39.1515236715125,0.999999999999983
34037,"New Jersey","Sussex County",246,"High Incidenc",140799,5.7,174.717149979758,6,9.9,58.4076697320499,0.999999999999938
34039,"New Jersey","Union County",92,"High Incidenc",558067,11.2,16.4854757582871,6,12.47,25.8740192209484,1.00000000000015
34041,"New Jersey","Warren County",244,"High Incidenc",105779,7,230.669603607521,6,10.53,45.225551712431,1.00000000000014
36001,"New York","Albany County",116,"High Incidenc",307117,4.2,37.7706216197736,5,8.89,54.2380201577275,1.00000000000004
36003,"New York","Allegany County",5,"High Incidenc",46430,5.7,10.7688994184794,5,8.01,53.1297233027989,0.999999999999985
36005,"New York","Bronx County",34,"High Incidenc",1432132,8.7,2.3740828359397,6,13.01,14.4462156990888,1.00000000000021
36007,"New York","Broome County",56,"High Incidenc",191659,5.2,29.2185600467497,5,8.16,56.3890824279921,0.999999999999321
36009,"New York","Cattaraugus County",17,"High Incidenc",76840,6.5,22.1238938053097,5,8,58.9245280455985,0.999999999999976
36011,"New York","Cayuga County",7,"High Incidenc",77145,4.8,9.07382202346231,5,8.37,27.9216040439275,0.973529047558665
36013,"New York","Chautauqua County",9,"High Incidenc",127939,5.5,7.03460242771946,6,8.68,45.4159112140671,0.93721651721137
