"HUC_12","PFOR90","PFOR"
"          NA",89.3318787,61.2698746
"          NA",90.4501801,72.0566788
"          NA",91.2295151,77.9771729
"          NA",89.3239594,71.7632751
"          NA",91.1511765,72.8209991
"          NA",86.7287369,64.1113739
"          NA",91.9775009,74.08741
"          NA",92.2732544,70.8517303
"          NA",89.0501938,69.6485214
"          NA",85.5390396,68.9719467
"          NA",84.0783615,78.1946716
"          NA",91.4327087,56.2969704
"          NA",89.9429245,65.0357056
"          NA",86.2959824,75.2312317
"          NA",93.2415161,70.3141327
"          NA",92.5707932,63.4259567
"          NA",85.4346848,62.7653542
"          NA",89.2274017,76.2986374
"          NA",97.0775223,70.9750366
"          NA",92.7046204,60.6243782
"          NA",96.7472534,84.4645081
"          NA",95.2183914,82.755722
"          NA",91.7914276,77.2221069
"          NA",92.5305786,76.4750824
"          NA",88.0633469,76.480011
"          NA",94.4697571,78.6406555
"          NA",88.6500092,70.5166168
"          NA",92.3678818,62.7797928
"          NA",90.3179855,65.8480606
"          NA",91.5179672,70.8645477
"          NA",94.0606918,70.7443924
"          NA",94.5397491,70.8048248
"          NA",92.2237244,69.0303268
"          NA",95.2414627,64.1494904
"          NA",92.689415,49.6664734
"          NA",90.6045532,59.9219589
"          NA",90.9686356,52.9503365
"          NA",88.644249,49.7520561
"          NA",88.0558243,65.7323303
"          NA",91.6385193,64.6540604
"          NA",79.8731308,55.7396622
"          NA",81.2301865,57.5795135
"          NA",87.6107712,57.1413155
"          NA",92.3022461,61.6852875
"          NA",90.5075912,58.8036079
"          NA",70.2972336,51.0437393
"          NA",94.2111664,73.3053741
"          NA",88.7412109,72.5432663
"          NA",71.3484116,57.9680672
"          NA",73.6156464,56.8388786
"          NA",76.4685287,56.1751022
"          NA",77.5108719,64.2727203
"          NA",78.2149048,63.6870766
"          NA",69.4944687,54.1011772
"          NA",74.7621613,57.4619102
"          NA",62.5398979,52.7307587
"          NA",84.1472168,63.2465286
"          NA",85.3704987,70.2190781
"          NA",82.8588181,72.9953003
"          NA",80.5218735,65.7165756
"          NA",66.0491409,49.0382271
"          NA",82.9096146,72.632019
"          NA",82.6964569,72.9723053
"          NA",79.1028824,69.902504
"          NA",76.5940399,70.007576
"          NA",84.1164856,79.3132477
"          NA",74.2630005,72.5603333
"          NA",79.9102325,67.7805634
"          NA",77.2336426,67.9447632
"          NA",45.404747,39.1292076
"          NA",85.7142868,80.4164124
"          NA",84.4244537,73.5023804
"          NA",88.1574554,81.495224
"          NA",75.6660919,72.1332321
"          NA",75.7714767,69.3859482
"          NA",79.1160278,72.7483826
"          NA",94.5325394,89.3330765
"          NA",85.1133652,79.6703873
"          NA",90.6459579,77.9386749
"          NA",87.4767151,81.7857513
"          NA",91.9104156,79.2805557
"          NA",90.7534943,75.0279465
"          NA",89.0464859,82.9234085
"          NA",87.7541885,68.4299164
"          NA",89.5304031,81.7007523
"          NA",89.1880722,81.3851013
"          NA",91.1349258,82.8513565
"          NA",87.5829697,81.5506287
"          NA",87.5778656,78.2554703
"          NA",86.6691818,74.8432236
"          NA",89.1838837,84.3022156
"          NA",86.9449005,78.732399
"          NA",83.5046921,70.4546661
"          NA",86.5017166,78.3459625
"          NA",89.9075623,81.8134766
"          NA",85.7362671,78.3579788
"          NA",87.4731674,81.8851318
"          NA",87.8621445,79.3112411
"          NA",93.0341263,78.1230164
"          NA",93.9060364,85.5310135
"          NA",90.0755081,78.5073242
"          NA",93.4601135,84.932663
"          NA",90.6244583,81.7617722
"          NA",90.3117065,84.5800323
"          NA",85.7342529,77.8200836
"          NA",89.6146851,86.0505066
"          NA",92.6023178,86.7710953
"          NA",88.5707779,78.8510284
"          NA",86.6504822,69.3952179
"          NA",86.903923,69.6293335
"          NA",90.1996918,72.0608902
"          NA",85.2758789,74.7370377
"          NA",82.9204178,74.8862762
"          NA",88.5493622,74.3964767
"          NA",90.0404129,82.0355911
"          NA",85.4947128,71.416275
"          NA",84.7644272,79.5510941
"          NA",87.2915421,76.9182968
"          NA",90.0066757,82.4454269
"          NA",93.2244339,90.3355789
"          NA",88.8423538,84.4297409
"          NA",94.0561218,87.5496521
"          NA",90.3968887,85.3702164
"          NA",90.769783,81.3047791
"          NA",97.8771133,91.1908264
"          NA",93.8403168,86.4592285
"          NA",95.9043121,89.9051285
"          NA",92.0940552,77.7022552
"          NA",95.4432373,88.7361679
"          NA",87.4486313,79.5092697
